,Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
1952,2023-01-21 08:00:00,17,7628.6,3304.2,3304.2,3304.2,12000.0
1953,2023-01-21 08:15:00,17,7461.6,3341.8,3341.8,3341.8,12000.0
1954,2023-01-21 08:30:00,18,7483.5,3535.7,3535.7,3535.7,12000.0
1955,2023-01-21 08:45:00,18,7253.1,3829.1,3574.59,3574.59,10911.47
1956,2023-01-21 09:00:00,19,7366.3,3176.1,3166.1,3166.1,11361.64
1957,2023-01-21 09:15:00,19,7405.6,3132.7,3122.05,3122.05,11524.2
1958,2023-01-21 09:30:00,20,7003.2,3230.2,3172.5,3172.5,10000.29
1959,2023-01-21 09:45:00,20,6587.2,3322.0,3018.01,3018.01,9499.24
1960,2023-01-21 10:00:00,21,7219.6,3710.2,3538.3,3538.3,8500.66
1961,2023-01-21 10:15:00,21,6670.4,3856.3,3682.9,3682.9,7957.35
1962,2023-01-21 10:30:00,22,6106.8,3907.8,3727.5,3727.5,7467.0
1963,2023-01-21 10:45:00,22,5538.1,3595.2,3350.46,3350.46,6989.73
1964,2023-01-21 11:00:00,23,5173.8,3903.7,3274.3,3274.3,6500.58
1965,2023-01-21 11:15:00,23,5126.4,4620.8,3461.38,3461.38,6149.41
1966,2023-01-21 11:30:00,24,4482.8,5153.0,3331.2,3331.2,4661.4
1967,2023-01-21 11:45:00,24,4420.0,4959.3,3266.8,3266.8,4661.5
1968,2023-01-21 12:00:00,25,4544.7,3888.5,2530.7,2530.7,5670.86
1969,2023-01-21 12:15:00,25,4156.2,4051.4,2269.8,2269.8,5670.54
1970,2023-01-21 12:30:00,26,4447.7,3952.2,2459.6,2459.6,6120.52
1971,2023-01-21 12:45:00,26,4312.4,4170.3,2422.6,2422.6,6000.12
1972,2023-01-21 13:00:00,27,3903.8,5348.2,2615.98,2615.98,4662.99
1973,2023-01-21 13:15:00,27,4055.7,5694.9,2768.34,2768.34,4729.75
1974,2023-01-21 13:30:00,28,4074.9,5429.5,2586.98,2586.98,4662.83
1975,2023-01-21 13:45:00,28,3579.1,5247.6,2094.65,2094.65,4504.51
1976,2023-01-21 14:00:00,29,3261.5,4618.5,1741.9,1741.9,4419.97
1977,2023-01-21 14:15:00,29,3418.5,4250.4,1872.8,1872.8,4419.92
1978,2023-01-21 14:30:00,30,3433.4,4318.5,1881.14,1881.14,4546.23
1979,2023-01-21 14:45:00,30,3513.1,3848.3,1957.05,1957.05,4593.91
1980,2023-01-21 15:00:00,31,3540.3,3614.8,1662.3,1662.3,5200.88
1981,2023-01-21 15:15:00,31,3844.1,3606.5,1925.97,1925.97,5571.49
1982,2023-01-21 15:30:00,32,4212.2,3820.5,2406.4,2406.4,4701.81
1983,2023-01-21 15:45:00,32,4318.4,4211.0,2936.4,2936.4,4500.19
1984,2023-01-21 16:00:00,33,4041.4,3593.8,2336.81,2336.81,4729.8
1985,2023-01-21 16:15:00,33,4392.4,3007.3,2025.2,2025.2,6000.99
1986,2023-01-21 16:30:00,34,5139.1,2174.2,1988.2,1988.2,8000.92
1987,2023-01-21 16:45:00,34,5262.5,2212.5,2022.35,2022.35,9499.52
1988,2023-01-21 17:00:00,35,4449.6,3850.4,2844.18,2844.18,5344.19
1989,2023-01-21 17:15:00,35,4593.9,4003.9,3138.4,3138.4,5200.29
1990,2023-01-21 17:30:00,36,4978.4,3750.0,3241.8,3241.8,5999.2
1991,2023-01-21 17:45:00,36,5885.5,2903.8,2848.8,2848.8,11010.16
1992,2023-01-21 18:00:00,37,5611.2,2802.2,2802.2,2802.2,12000.0
1993,2023-01-21 18:15:00,37,6482.4,2990.1,2990.1,2990.1,12000.0
1994,2023-01-21 18:30:00,38,7554.3,3126.7,3126.7,3126.7,12000.0
1995,2023-01-21 18:45:00,38,7853.0,2972.5,2972.5,2972.5,12000.0
1996,2023-01-21 19:00:00,39,9108.1,2579.2,2579.2,2579.2,12000.0
1997,2023-01-21 19:15:00,39,9406.9,2523.6,2523.6,2523.6,12000.0
1998,2023-01-21 19:30:00,40,9629.6,2957.5,2957.5,2957.5,12000.0
1999,2023-01-21 19:45:00,40,9181.2,3454.7,3454.7,3454.7,12000.0
2000,2023-01-21 20:00:00,41,5859.5,3245.9,3145.9,3145.9,12000.0
2001,2023-01-21 20:15:00,41,5316.9,3781.8,2993.8,2993.8,8245.95
2002,2023-01-21 20:30:00,42,3895.6,4423.8,2402.4,2402.4,5475.04
2003,2023-01-21 20:45:00,42,3607.4,4875.7,2379.5,2379.5,4999.51
2004,2023-01-21 21:00:00,43,3507.5,4379.0,2704.39,2704.39,4419.98
2005,2023-01-21 21:15:00,43,3573.0,4548.4,2743.9,2743.9,4446.75
2006,2023-01-21 21:30:00,44,3284.8,3989.2,2382.7,2382.7,4414.16
2007,2023-01-21 21:45:00,44,3321.6,4240.1,2266.9,2266.9,4530.19
2008,2023-01-21 22:00:00,45,3525.5,4059.4,1941.35,1941.35,4244.78
2009,2023-01-21 22:15:00,45,3332.5,4205.7,1740.56,1740.56,4244.15
2010,2023-01-21 22:30:00,46,4082.3,4256.9,2274.7,2274.7,4945.89
2011,2023-01-21 22:45:00,46,4241.3,4616.0,2448.7,2448.7,4729.57
2012,2023-01-21 23:00:00,47,4074.7,4890.4,2328.8,2328.8,4001.13
2013,2023-01-21 23:15:00,47,4088.5,4809.9,2288.5,2288.5,4264.06
2014,2023-01-21 23:30:00,48,3585.8,4835.3,2212.3,2212.3,3595.65
2015,2023-01-21 23:45:00,48,3478.4,4867.3,2071.6,2071.6,3595.99
2016,2023-01-22 00:00:00,1,3572.0,4720.2,1935.0,1935.0,4264.06
2017,2023-01-22 00:15:00,1,3412.0,4791.5,2050.4,2050.4,3680.37
2018,2023-01-22 00:30:00,2,2908.3,3788.0,1719.64,1719.64,3595.22
2019,2023-01-22 00:45:00,2,2873.3,3615.9,1628.3,1628.3,3600.31
2020,2023-01-22 01:00:00,3,3596.6,4754.9,1912.7,1912.69,3637.89
2021,2023-01-22 01:15:00,3,3358.9,4939.9,1814.08,1814.08,3595.78
2022,2023-01-22 01:30:00,4,3382.4,4692.2,1920.0,1920.0,3101.89
2023,2023-01-22 01:45:00,4,3001.6,4859.0,1861.5,1861.5,2850.87
2024,2023-01-22 02:00:00,5,2453.6,4792.6,1678.72,1678.72,2822.62
2025,2023-01-22 02:15:00,5,2568.2,4865.0,1793.32,1793.32,2822.65
2026,2023-01-22 02:30:00,6,2447.9,4788.4,1659.21,1659.21,2822.5
2027,2023-01-22 02:45:00,6,2551.1,4810.2,1762.41,1762.41,2822.64
2028,2023-01-22 03:00:00,7,3054.3,5197.2,2348.63,2348.63,2822.94
2029,2023-01-22 03:15:00,7,2952.4,5168.5,2246.73,2246.73,2822.87
2030,2023-01-22 03:30:00,8,2869.6,4834.8,2143.1,2143.1,2850.07
2031,2023-01-22 03:45:00,8,2841.1,4687.4,2023.7,2023.7,2850.36
2032,2023-01-22 04:00:00,9,3599.4,4689.9,2067.37,2067.37,4345.12
2033,2023-01-22 04:15:00,9,4075.9,4615.7,2239.6,2239.6,4500.02
2034,2023-01-22 04:30:00,10,2946.3,4566.1,1503.8,1503.8,3680.54
2035,2023-01-22 04:45:00,10,2589.9,4673.2,1500.51,1500.51,3595.71
2036,2023-01-22 05:00:00,11,3290.0,4447.5,1770.7,1770.7,3651.99
2037,2023-01-22 05:15:00,11,3421.6,4303.7,1944.6,1944.6,3680.12
2038,2023-01-22 05:30:00,12,4269.8,4158.3,2159.31,2159.31,4729.49
2039,2023-01-22 05:45:00,12,4129.1,3709.4,1974.48,1974.48,4945.09
2040,2023-01-22 06:00:00,13,3279.4,3656.7,1908.2,1908.2,5200.72
2041,2023-01-22 06:15:00,13,3829.1,3803.5,2161.49,2161.49,5694.3
2042,2023-01-22 06:30:00,14,3945.2,3628.9,2273.8,2273.8,6000.38
2043,2023-01-22 06:45:00,14,4155.8,3359.3,2363.2,2363.2,6000.84
2044,2023-01-22 07:00:00,15,3303.3,4109.3,2144.9,2144.9,5049.24
