2026-05-19 01:43:30,144 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 40, 'Datetime': '2023-01-01 10:00:00', 'Session ID': 21, 'Purchase Bid (MW)': 5535.5, 'Sell Bid (MW)': 3247.6, 'MCV (MW)': 2781.85, 'Final Scheduled Volume (MW)': 2781.85, 'MCP (Rs/MWh) *': 8753.09}
2026-05-19 01:43:31,146 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 41, 'Datetime': '2023-01-01 10:15:00', 'Session ID': 21, 'Purchase Bid (MW)': 4901.6, 'Sell Bid (MW)': 3440.5, 'MCV (MW)': 2926.1, 'Final Scheduled Volume (MW)': 2926.1, 'MCP (Rs/MWh) *': 6999.85}
2026-05-19 01:43:32,147 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 42, 'Datetime': '2023-01-01 10:30:00', 'Session ID': 22, 'Purchase Bid (MW)': 5153.6, 'Sell Bid (MW)': 3784.8, 'MCV (MW)': 3104.24, 'Final Scheduled Volume (MW)': 3104.24, 'MCP (Rs/MWh) *': 8750.48}
2026-05-19 01:43:33,149 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 43, 'Datetime': '2023-01-01 10:45:00', 'Session ID': 22, 'Purchase Bid (MW)': 5074.5, 'Sell Bid (MW)': 4130.2, 'MCV (MW)': 3148.9, 'Final Scheduled Volume (MW)': 3148.9, 'MCP (Rs/MWh) *': 7335.69}
2026-05-19 01:43:34,153 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 44, 'Datetime': '2023-01-01 11:00:00', 'Session ID': 23, 'Purchase Bid (MW)': 3977.3, 'Sell Bid (MW)': 4298.3, 'MCV (MW)': 2470.3, 'Final Scheduled Volume (MW)': 2470.3, 'MCP (Rs/MWh) *': 5899.06}
2026-05-19 01:43:35,157 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 45, 'Datetime': '2023-01-01 11:15:00', 'Session ID': 23, 'Purchase Bid (MW)': 3604.4, 'Sell Bid (MW)': 4436.8, 'MCV (MW)': 2286.26, 'Final Scheduled Volume (MW)': 2286.26, 'MCP (Rs/MWh) *': 4200.98}
2026-05-19 01:43:36,159 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 46, 'Datetime': '2023-01-01 11:30:00', 'Session ID': 24, 'Purchase Bid (MW)': 2988.7, 'Sell Bid (MW)': 4614.0, 'MCV (MW)': 1967.4, 'Final Scheduled Volume (MW)': 1967.4, 'MCP (Rs/MWh) *': 4199.19}
2026-05-19 01:43:37,161 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 47, 'Datetime': '2023-01-01 11:45:00', 'Session ID': 24, 'Purchase Bid (MW)': 2789.3, 'Sell Bid (MW)': 4698.0, 'MCV (MW)': 1865.4, 'Final Scheduled Volume (MW)': 1865.4, 'MCP (Rs/MWh) *': 4000.89}
2026-05-19 01:43:38,164 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 48, 'Datetime': '2023-01-01 12:00:00', 'Session ID': 25, 'Purchase Bid (MW)': 3345.2, 'Sell Bid (MW)': 4681.1, 'MCV (MW)': 1924.11, 'Final Scheduled Volume (MW)': 1924.11, 'MCP (Rs/MWh) *': 4774.45}
2026-05-19 01:43:39,167 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 49, 'Datetime': '2023-01-01 12:15:00', 'Session ID': 25, 'Purchase Bid (MW)': 3227.0, 'Sell Bid (MW)': 4507.3, 'MCV (MW)': 1901.22, 'Final Scheduled Volume (MW)': 1901.21, 'MCP (Rs/MWh) *': 4999.18}
2026-05-19 01:43:40,168 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 50, 'Datetime': '2023-01-01 12:30:00', 'Session ID': 26, 'Purchase Bid (MW)': 2935.1, 'Sell Bid (MW)': 4836.2, 'MCV (MW)': 1768.9, 'Final Scheduled Volume (MW)': 1768.9, 'MCP (Rs/MWh) *': 4630.15}
2026-05-19 01:43:41,171 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 51, 'Datetime': '2023-01-01 12:45:00', 'Session ID': 26, 'Purchase Bid (MW)': 2894.3, 'Sell Bid (MW)': 5109.7, 'MCV (MW)': 1851.03, 'Final Scheduled Volume (MW)': 1851.03, 'MCP (Rs/MWh) *': 4000.79}
2026-05-19 01:43:42,173 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 52, 'Datetime': '2023-01-01 13:00:00', 'Session ID': 27, 'Purchase Bid (MW)': 2346.0, 'Sell Bid (MW)': 5770.9, 'MCV (MW)': 1900.6, 'Final Scheduled Volume (MW)': 1900.6, 'MCP (Rs/MWh) *': 3001.83}
2026-05-19 01:43:43,175 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 53, 'Datetime': '2023-01-01 13:15:00', 'Session ID': 27, 'Purchase Bid (MW)': 2329.0, 'Sell Bid (MW)': 5605.2, 'MCV (MW)': 1767.5, 'Final Scheduled Volume (MW)': 1767.5, 'MCP (Rs/MWh) *': 3400.22}
2026-05-19 01:43:44,177 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 54, 'Datetime': '2023-01-01 13:30:00', 'Session ID': 28, 'Purchase Bid (MW)': 2196.3, 'Sell Bid (MW)': 5464.6, 'MCV (MW)': 1871.0, 'Final Scheduled Volume (MW)': 1871.0, 'MCP (Rs/MWh) *': 2950.93}
2026-05-19 01:43:45,181 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 55, 'Datetime': '2023-01-01 13:45:00', 'Session ID': 28, 'Purchase Bid (MW)': 2252.6, 'Sell Bid (MW)': 5223.3, 'MCV (MW)': 1748.6, 'Final Scheduled Volume (MW)': 1748.6, 'MCP (Rs/MWh) *': 3120.84}
2026-05-19 01:43:46,183 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 56, 'Datetime': '2023-01-01 14:00:00', 'Session ID': 29, 'Purchase Bid (MW)': 2327.9, 'Sell Bid (MW)': 4575.7, 'MCV (MW)': 1257.16, 'Final Scheduled Volume (MW)': 1257.16, 'MCP (Rs/MWh) *': 3681.0}
2026-05-19 01:43:47,187 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 57, 'Datetime': '2023-01-01 14:15:00', 'Session ID': 29, 'Purchase Bid (MW)': 2506.3, 'Sell Bid (MW)': 4413.6, 'MCV (MW)': 1291.87, 'Final Scheduled Volume (MW)': 1291.87, 'MCP (Rs/MWh) *': 4260.53}
2026-05-19 01:43:48,188 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 58, 'Datetime': '2023-01-01 14:30:00', 'Session ID': 30, 'Purchase Bid (MW)': 3228.8, 'Sell Bid (MW)': 3896.6, 'MCV (MW)': 1824.8, 'Final Scheduled Volume (MW)': 1824.8, 'MCP (Rs/MWh) *': 5000.25}
2026-05-19 01:43:49,191 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 59, 'Datetime': '2023-01-01 14:45:00', 'Session ID': 30, 'Purchase Bid (MW)': 3445.5, 'Sell Bid (MW)': 3843.7, 'MCV (MW)': 1814.51, 'Final Scheduled Volume (MW)': 1814.51, 'MCP (Rs/MWh) *': 5349.21}
2026-05-19 01:43:50,193 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 60, 'Datetime': '2023-01-01 15:00:00', 'Session ID': 31, 'Purchase Bid (MW)': 2721.6, 'Sell Bid (MW)': 3952.5, 'MCV (MW)': 1137.6, 'Final Scheduled Volume (MW)': 1137.6, 'MCP (Rs/MWh) *': 4696.0}
2026-05-19 01:43:51,196 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 61, 'Datetime': '2023-01-01 15:15:00', 'Session ID': 31, 'Purchase Bid (MW)': 2522.1, 'Sell Bid (MW)': 4304.1, 'MCV (MW)': 1433.77, 'Final Scheduled Volume (MW)': 1433.77, 'MCP (Rs/MWh) *': 4001.41}
2026-05-19 01:43:52,198 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 62, 'Datetime': '2023-01-01 15:30:00', 'Session ID': 32, 'Purchase Bid (MW)': 2518.1, 'Sell Bid (MW)': 4407.8, 'MCV (MW)': 1473.68, 'Final Scheduled Volume (MW)': 1473.67, 'MCP (Rs/MWh) *': 3800.36}
2026-05-19 01:43:53,200 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 63, 'Datetime': '2023-01-01 15:45:00', 'Session ID': 32, 'Purchase Bid (MW)': 2509.3, 'Sell Bid (MW)': 4228.0, 'MCV (MW)': 1753.3, 'Final Scheduled Volume (MW)': 1753.3, 'MCP (Rs/MWh) *': 3899.47}
2026-05-19 01:43:54,203 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 64, 'Datetime': '2023-01-01 16:00:00', 'Session ID': 33, 'Purchase Bid (MW)': 2188.4, 'Sell Bid (MW)': 3541.8, 'MCV (MW)': 1308.08, 'Final Scheduled Volume (MW)': 1308.08, 'MCP (Rs/MWh) *': 4001.64}
2026-05-19 01:43:55,205 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 65, 'Datetime': '2023-01-01 16:15:00', 'Session ID': 33, 'Purchase Bid (MW)': 2065.5, 'Sell Bid (MW)': 3588.8, 'MCV (MW)': 1298.87, 'Final Scheduled Volume (MW)': 1298.87, 'MCP (Rs/MWh) *': 3799.7}
2026-05-19 01:43:56,207 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 66, 'Datetime': '2023-01-01 16:30:00', 'Session ID': 34, 'Purchase Bid (MW)': 2392.9, 'Sell Bid (MW)': 4530.7, 'MCV (MW)': 1743.6, 'Final Scheduled Volume (MW)': 1743.6, 'MCP (Rs/MWh) *': 3558.45}
2026-05-19 01:43:57,209 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 67, 'Datetime': '2023-01-01 16:45:00', 'Session ID': 34, 'Purchase Bid (MW)': 2702.7, 'Sell Bid (MW)': 4378.3, 'MCV (MW)': 2056.56, 'Final Scheduled Volume (MW)': 2056.56, 'MCP (Rs/MWh) *': 3558.67}
2026-05-19 01:43:58,211 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 68, 'Datetime': '2023-01-01 17:00:00', 'Session ID': 35, 'Purchase Bid (MW)': 2370.0, 'Sell Bid (MW)': 5203.9, 'MCV (MW)': 2161.56, 'Final Scheduled Volume (MW)': 2161.56, 'MCP (Rs/MWh) *': 2900.0}
2026-05-19 01:43:59,214 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 69, 'Datetime': '2023-01-01 17:15:00', 'Session ID': 35, 'Purchase Bid (MW)': 2187.4, 'Sell Bid (MW)': 5682.4, 'MCV (MW)': 2150.34, 'Final Scheduled Volume (MW)': 2150.34, 'MCP (Rs/MWh) *': 2150.47}
2026-05-19 01:44:00,219 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 70, 'Datetime': '2023-01-01 17:30:00', 'Session ID': 36, 'Purchase Bid (MW)': 2531.0, 'Sell Bid (MW)': 5182.8, 'MCV (MW)': 2491.7, 'Final Scheduled Volume (MW)': 2491.7, 'MCP (Rs/MWh) *': 2369.64}
2026-05-19 01:44:01,222 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 71, 'Datetime': '2023-01-01 17:45:00', 'Session ID': 36, 'Purchase Bid (MW)': 2417.4, 'Sell Bid (MW)': 4870.7, 'MCV (MW)': 2250.6, 'Final Scheduled Volume (MW)': 2250.6, 'MCP (Rs/MWh) *': 2700.31}
2026-05-19 01:44:02,224 | kafka_producer | INFO | Streamed event: {'Unnamed: 0': 72, 'Datetime': '2023-01-01 18:00:00', 'Session ID': 37, 'Purchase Bid (MW)': 3292.9, 'Sell Bid (MW)': 4240.1, 'MCV (MW)': 2120.88, 'Final Scheduled Volume (MW)': 2120.88, 'MCP (Rs/MWh) *': 4450.96}
